Crop Category,DateRecv,Entered,ID,EnteredBy,DocNum,CardCode,Ship to,Batch #,ItemCode,Description,ItmsGrpNam,WhsCode,Project,Quantity,Affected,Percent,$ Amt,PulpTemp,TruckTemp,Issue1,Issue2,Issue3,Notes,Status,Complaint Category 1,Complaint Category 2,Complaint Category 3,PRODUCTION ZONE,ZONE PACK,PACK ZONE,ZONE SHIP,ZONE AGING,RECEIVED @ WAREHOUSE,AGE @ JF RECEIVING,JF FACILITY (LAW/SSF),SHIP TO CUST,TOTAL AGING,DAYS TO COMPLAINT,AGE @ TIME OF COMPLAINT,PO #,INCOMING QUAL SCORE,RECEIVING TEMP,Color,QUALITY DEFECT,,CONDICTIONAL DEFECT 1,,CONDITIONAL DEFECT 2,,SERIOUS CONDITIONAL  DEFECT 1,,SERIOUS CONDITIONAL  DEFECT 2,,QC REP
HERBS,1/2/17,01/02/2017,2544,68,520677,RAT,"17860 BUTTEVILLE RD NE_x000D__x000D_AURORA, OR  97002",474859,chi4zC,chives 4oz bag conventional,chives,SF1,JFM,53,5,9.43%,11.25,,,Wet - Condensation Present,,,,Rejected,SHIPPING/TRANSPORTATION,,,VIDFR1,N/A,EXTERNAL VENDOR,N/A,N/A,27-Dec-2016,N/A,SF1,30-Dec-2016,4,4 ,8,48282 ,47,49,N/A,INSECT DAMAGE,11.33%,DISCOLORATION,20.67%,N/A,0%,DECAY,8.00%,YELLOWING,5.33%,NG
HERBS,1/2/17,01/02/2017,2545,68,520594,KRGRAL,"1500 EASTRIDGE AVENUE_x000D__x000D_RIVERSIDE, CA  92507",475039,aru3k,arugula 3ct 2/3oz clamshells Kroger,arugula,LA1,JF,20,20,100.00%,50.40,,,Discoloration,,,,Rejected,QUALITY,,,KENCA1,N/A,EXTERNAL VENDOR,N/A,N/A,28-Dec-2016,N/A,LA1,30-Dec-2016,3,4 ,7,277508 ,74,43,N/A,INSECT DAMAGE,10.67%,DISCOLORATION,7.33%,N/A,0%,WETNESS,9.33%,N/A,0.00%,NG
HERBS,1/2/17,01/02/2017,2546,68,520293,KRGRAL,"2215 S WILMINGTON_x000D__x000D_COMPTON, CA  90220",475087,bas43k,basil 3ct 4oz clamshells Kroger,basil,LA1,JFM,389,389,100.00%,"2,824.14",,,Discoloration,,,,Rejected,QUALITY,,,VIDFR1,N/A,EXTERNAL VENDOR,N/A,N/A,28-Dec-2016,N/A,LA1,29-Dec-2016,2,5 ,7,277884 ,64,48,N/A,INSECT DAMAGE,2.67%,DISCOLORATION,12.67%,N/A,0%,MECH.DAMAGE,5.33%,WETNESS,6.00%,NG
HERBS,1/3/17,01/03/2017,2547,68,508870,RAT,"17860 BUTTEVILLE RD NE_x000D__x000D_AURORA, OR  97002",460348,tar4ozc,tarragon 4oz bag conventional,tarragon,SF1,JFM,25,4,16.00%,7.20,,,Chilling Damage,,,,Rejected,SHIPPING/TRANSPORTATION,,,VIDFR1,N/A,EXTERNAL VENDOR,N/A,N/A,26-Sep-2016,N/A,SF1,5-Oct-2016,10,91 ,101,46424 ,80,50,N/A,DISCOLORATION,9.33%,INSECT PRESENCE/FRASS,8.00%,N/A,0%,MECH.DAMAGE,2.67%,YELLOWING,2.67%,NG
HERBS,1/5/17,01/05/2017,2548,68,520404,WEDJF,"746 VANDALIA STREET_x000D__x000D_SAINT PAUL, MN  55114",475271,bas7c,basil lb bag  conventional,basil cv,SF1,JFM,30,6,20.00%,36.00,,,Chilling Damage,,,,Rejected,SHIPPING/TRANSPORTATION,,,GOUSP1,N/A,EXTERNAL VENDOR,N/A,N/A,29-Dec-2016,N/A,SF1,3-Jan-2017,6,3 ,9,48329 ,86,53,N/A,INSECT DAMAGE,2.00%,DISCOLORATION,3.33%,N/A,0%,DEHYDRATION/WILT,13.33%,MECH.DAMAGE,8.00%,NG
HERBS,1/5/17,01/05/2017,2549,68,520876,VIN,"41790 GARFIELD_x000D__x000D_CLINTONTOWNSHIP, MI  48038",474275,spm6,spearmint 6ct 3/4oz clamshells,spearmint,SF1,JF,4,1,25.00%,6.85,,,Black Leaves,,,,Rejected,SERIOUS CONDITIONAL,,,PESVEN,12/22/2016,PESVEN,12/22/2016,1,22-Dec-2016,1,SF1,3-Jan-2017,3,3 ,6,48208 ,64,44,N/A,INSECT DAMAGE,89.33%,INSECT PRESENCE/FRASS,4.67%,N/A,0%,MECH.DAMAGE,9.33%,WETNESS,2.00%,NG
HERBS,1/5/17,01/05/2017,2550,68,520352,CHCWP,"520 N. ORLANDO AVE. UNIT 100_x000D__x000D_WINTER PARK, FL  32789",475714,bas7c,basil lb bag  conventional,basil cv,LA1,JFM,6,6,100.00%,21.30,,,Black Leaves,,,,Rejected,SERIOUS CONDITIONAL,,,SJD,12/29/2016,SJDVEN,12/29/2016,1,31-Dec-2016,3,LA1,3-Jan-2017,6,3 ,9,48356 ,75,50,N/A,DISCOLORATION,12.00%,MECH.DAMAGE,28.67%,N/A,0%,WETNESS,2.00%,N/A,0.00%,NG
TOMATO,1/2/17,01/05/2017,2551,63,519735,ALB,"200 EAGLE COURT_x000D__x000D_Bridgeport, NJ  08014",473781,MXF,MIXED MEDLEY 12 HALF PINT FAIRTRADE,MIXED CHERRY,LA1,SJD,28,28,100.00%,742.00,,,Shrivel (Fruit),Mold,,,Protected,SERIOUS CONDITIONAL,CONDITIONAL,,SJD,20-Dec-2016,SJDVEN,20-Dec-2016,1 ,22-Dec-2016,3 ,LA1,27-Dec-2016,8 ,7 ,15 ,48209 ,85,47,N/A,INSECT DAMAGE,7.33%,SOFTNESS,6.00%,N/A,0%,N/A,0.00%,N/A,0.00%,NG
VEGETABLES,1/3/17,01/05/2017,2552,63,520646,CSP,"2420 MODOC ST._x000D__x000D_LOS ANGELES, CA  90021",475038,SUG,SUGAR SNAP PEA 10LB,SNAP PEAS,LA1,BCN,36,25,69.44%,900.00,,,Other,,,Sorry but product is really bad,Rejected,SERIOUS CONDITIONAL,,,BCN,28-Dec-2016,BCNVEN,28-Dec-2016,1 ,29-Dec-2016,2 ,LA1,3-Jan-2017,7 ,1 ,8 ,48314 ,75,48,N/A,INSECT DAMAGE,100.00%,N/A,0.00%,N/A,0%,N/A,0.00%,N/A,0.00%,NG
VEGETABLES,1/3/17,01/05/2017,2552,63,520646,CSP,"2420 MODOC ST._x000D__x000D_LOS ANGELES, CA  90021",475171,SUG,SUGAR SNAP PEA 10LB,SNAP PEAS,LA1,BCN,36,10,27.78%,360.00,,,Other,,,Sorry but product is really bad,Rejected,SERIOUS CONDITIONAL,,,BCN,28-Dec-2016,BCNVEN,28-Dec-2016,1 ,29-Dec-2016,2 ,LA1,3-Jan-2017,7 ,1 ,8 ,48314 ,72,51,N/A,INSECT DAMAGE,100.00%,N/A,0.00%,N/A,0%,N/A,0.00%,N/A,0.00%,NG
