TSDone,DocNum,ItemCode,BatchNum,Project,QCScore,Itemcount,Temperature,Brix,PoundsPressure,Color,Discoloration,InsectPresenceFrass,Softness,Bruising,Decay,DehydrationShrivel,AbnormalSoftness,UnhealedCutsSplits,Undersized,Oversized,InsectDamage,Scarring,DocType
 01/02/2017,278125,PBM,475722,DCN,66,150,46,0,0.00,0,6,0,26,0,7,0,0,0,0,0,0,8,PO
 01/02/2017,278125,PBM,475723,DCN,68,150,46,0,0.00,0,6,0,20,0,6,0,0,1,0,0,0,9,PO
 01/02/2017,278263,GBB,475757,DCN,76,150,38,0,0.00,0,19,0,0,0,0,2,0,2,0,0,0,7,PO
 01/02/2017,278263,GBEB,475758,DCN,91,150,40,0,0.00,0,12,0,0,0,0,0,0,3,0,0,0,0,PO
 01/02/2017,48366,SUB,475336,SJD,71,150,46,8,0.00,5,0,0,33,0,1,4,0,0,0,0,0,0,IM
 01/02/2017,48366,SUB,475335,SJD,69,150,46,8,0.00,5,0,0,33,0,0,5,0,0,0,0,11,0,IM
 01/02/2017,48366,CHF,475365,SJD,85,150,45,7,0.00,5,0,0,12,0,0,0,0,0,0,0,8,0,IM
 01/02/2017,48366,CHF,475052,SJD,81,150,45,7,0.00,5,0,0,21,0,0,0,0,0,0,0,12,0,IM
 01/02/2017,48366,CHF,474867,SJD,78,150,45,6,0.00,5,0,0,19,0,0,0,0,2,0,0,16,0,IM
 01/02/2017,48366,CHF,475337,SJD,84,150,45,7,0.00,5,0,0,12,0,0,0,0,0,0,0,10,0,IM
 01/02/2017,48366,CHW,475362,SJD,86,150,46,7,0.00,5,0,0,12,0,0,0,0,0,0,0,0,0,IM
 01/02/2017,48366,HXF,475353,SJD,72,150,46,0,0.00,0,0,0,16,0,0,7,0,0,0,0,0,8,IM
 01/02/2017,48366,CHT,475338,SJD,82,150,45,6,0.00,5,0,0,17,0,0,0,0,0,0,0,13,0,IM
 01/02/2017,48366,HXW,475364,SJD,81,150,46,0,0.00,0,0,0,16,0,0,0,0,1,0,0,11,0,IM
 01/02/2017,48366,HXW,475364,SJD,81,150,46,0,0.00,0,0,0,16,0,0,0,0,1,0,0,11,0,IM
 01/02/2017,48366,MXW,475356,SJD,77,150,46,0,0.00,0,0,0,11,0,0,5,0,0,0,0,0,4,IM
 01/02/2017,48366,CHT,475339,SJD,76,150,45,7,0.00,6,0,0,24,0,0,2,0,1,0,0,9,0,IM
 01/02/2017,48366,SWF,475366,SJD,75,150,47,6,0.00,5,0,0,9,0,0,6,0,0,0,0,12,0,IM
 01/02/2017,48366,CHT,475340,SJD,84,150,45,7,0.00,6,0,0,18,0,0,0,0,0,0,0,0,0,IM
 01/02/2017,48366,SLW,475354,SJD,73,150,46,8,0.00,5,21,0,27,0,0,0,0,0,0,0,0,8,IM
 01/02/2017,48366,SLW,475355,SJD,73,150,46,8,0.00,6,16,0,29,0,1,0,0,0,0,0,0,0,IM
 01/02/2017,48366,SUP,475363,SJD,82,150,46,7,0.00,5,0,0,18,0,0,0,0,0,0,0,14,0,IM
 01/02/2017,48366,HXF,475351,SJD,74,150,46,0,0.00,0,0,0,18,0,0,6,0,0,0,0,0,0,IM
 01/02/2017,48366,SUP,475342,SJD,72,150,46,8,0.00,6,0,0,28,0,1,4,0,0,0,0,0,0,IM
 01/02/2017,48366,HXF,475352,SJD,81,150,46,0,0.00,0,0,0,18,0,0,0,0,1,0,0,9,0,IM
 01/02/2017,48366,SUP,475343,SJD,75,150,46,7,0.00,5,0,0,33,0,0,0,0,0,0,0,10,12,IM
 01/02/2017,48366,SUW,475348,SJD,79,150,46,7,0.00,5,0,0,19,0,0,2,0,0,0,0,11,0,IM
 01/02/2017,48366,SUP,475341,SJD,79,150,46,7,0.00,5,0,0,26,0,0,0,0,0,0,0,11,6,IM
 01/02/2017,48366,SUW,475350,SJD,78,150,46,7,0.00,6,0,0,22,0,0,3,0,0,0,0,0,0,IM
 01/02/2017,48366,SUF,475345,SJD,66,150,46,8,0.00,6,0,0,27,0,1,5,0,3,0,0,0,0,IM
 01/02/2017,48366,SUW,475349,SJD,83,150,46,8,0.00,6,0,0,20,0,0,0,0,0,0,0,0,0,IM
 01/02/2017,48366,SUF,475344,SJD,63,150,46,6,0.00,6,0,0,36,0,0,7,0,2,0,0,0,0,IM
 01/02/2017,48366,SUF,475346,SJD,72,150,46,7,0.00,6,0,0,25,0,0,5,0,0,0,0,0,7,IM
 01/02/2017,48366,SUF,475347,SJD,74,150,46,7,0.00,0,0,0,29,0,0,4,0,0,0,0,0,0,IM
 01/02/2017,48368,SHF,475612,AVA,96,150,49,0,0.00,0,7,0,0,0,0,0,0,0,0,0,0,9,IM
 01/02/2017,48368,SUF,475664,AVA,84,150,49,7,0.00,0,0,0,11,0,0,0,0,0,0,0,10,6,IM
 01/02/2017,48368,SUF,475665,AVA,78,150,49,7,0.00,6,0,0,11,0,1,4,0,0,0,0,0,0,IM
 01/02/2017,48368,SLT2,475603,ZAR,77,150,51,7,0.00,6,0,0,24,0,0,0,0,3,0,0,0,0,IM
 01/02/2017,48368,SLT2,475666,ZAR,82,150,51,7,0.00,6,0,0,24,0,0,0,0,0,0,0,0,0,IM
 01/02/2017,48368,SLT3,475667,ZAR,83,150,51,8,0.00,6,0,0,18,0,0,0,0,0,0,0,0,9,IM
 01/02/2017,48368,SLT3,475604,ZAR,80,150,51,7,0.00,6,0,0,15,0,0,3,0,0,0,0,0,0,IM
 01/02/2017,48368,MXT2,475669,ZAR,100,150,55,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,IM
 01/02/2017,48368,MXT2,475607,ZAR,35,150,50,0,0.00,0,0,0,24,0,16,0,0,12,0,0,0,0,IM
 01/02/2017,48368,MXT2,475605,ZAR,57,150,50,0,0.00,0,0,0,18,0,12,0,0,4,0,0,0,0,IM
 01/02/2017,48368,MXT2,475606,ZAR,37,150,50,0,0.00,0,0,0,24,0,14,2,0,11,0,0,0,0,IM
 01/02/2017,48368,MXT2,475668,ZAR,81,150,50,0,0.00,0,11,0,17,0,0,0,0,0,0,0,0,0,IM
 01/02/2017,48368,MXT2,475670,ZAR,84,150,50,0,0.00,0,0,0,14,0,0,0,0,0,0,0,11,0,IM
 01/02/2017,48368,MXT2,475671,ZAR,92,150,55,0,0.00,0,0,0,18,0,0,0,0,1,0,0,0,0,IM
 01/02/2017,48368,SUF,475595,ZAR,86,150,49,7,0.00,5,0,0,11,0,0,0,0,0,0,0,0,0,IM
 01/02/2017,48368,SUF,475592,ZAR,84,150,49,7,0.00,6,0,0,14,0,0,0,0,0,0,0,10,0,IM
